AgencyName,NetBalance,Year
3D Marketing,95949.5982,1/31/2016 12:00:00 AM
4Square Communications,1209299.3941,5/31/2016 12:00:00 AM
Ad MILL Communication,2746267.8670,4/20/2016 4:59:20 PM
Ad Winner Advertising,-34899.6595,8/22/2014 11:52:44 AM
Ad World (Pvt.) Ltd.,43584.7979,3/31/2016 12:00:00 AM
Ad-Mart,-550.6732,7/16/2014 4:39:12 PM
Adarts (Pvt.) Ltd.,29745.4600,7/20/2010 12:00:00 AM
Adcom (Pvt.) Ltd.,6919886.4701,6/30/2016 5:00:05 PM
Adcom (Pvt.) Ltd.,6919886.4701,6/30/2016 5:00:05 PM
Adetude,285714.3320,6/24/2016 1:23:42 PM
Adetude,285714.3320,6/24/2016 1:23:42 PM
Adgroup (Pvt) Ltd,4116201.0053,7/14/2014 4:50:13 PM
Adgroup (Pvt) Ltd,4116201.0053,7/14/2014 4:50:13 PM
Admire Graphics (Pvt) Ltd.,-2595.0000,9/28/2009 5:18:30 PM
Adreach Advertising (Pvt) Ltd.,3173859.0503,2/1/2010 12:00:00 AM
Adreach Advertising (Pvt) Ltd.,3173859.0503,2/1/2010 12:00:00 AM
Advertising & Information Management Pvt Ltd (AIM),2026022.9642,9/30/2015 12:00:00 AM
AIN Productions,-40905.1404,3/31/2014 12:00:00 AM
Al-Hamra Communications,1326711.2036,6/30/2016 12:00:00 AM
Al-Huda Associate,33065.0000,12/19/2015 4:34:13 PM
Amergin Communication,0.0000,1/23/2013 12:00:00 AM
American Lycetuff,0.0000,4/12/2014 3:40:40 PM
Ansar Burney Trust,-20000.3172,8/30/2011 12:00:00 AM
Apex Communications,306520.0021,7/22/2009 12:00:00 AM
Argus  Advertising (Pvt.) Ltd.,486264.0832,4/6/2015 12:00:00 AM
ASK Advertising,-0.5413,11/19/2008 12:00:00 AM
Bait-ul-Sukoon,23680.0000,8/31/2013 12:00:00 AM
BBCL (Pvt) Ltd.,0.4845,3/18/2011 12:00:00 AM
Bilal Associates,-0.0013,11/30/2012 12:00:00 AM
Blitz Advertising (Pvt.) Ltd. DDB,42767436.0006,7/1/2016 12:00:00 AM
Blitz Advertising (Pvt.) Ltd. DDB,42767436.0006,7/1/2016 12:00:00 AM
Blitz Advertising (Pvt.) Ltd. DDB,42767436.0006,7/1/2016 12:00:00 AM
Bond Advertising (Pvt.) Ltd.,2111467.2253,6/9/2016 12:00:00 AM
Boost Communication (Pvt) Ltd.,-58678.7979,4/19/2016 12:00:00 AM
Brain Child Production (Pvt.) Ltd.,10490071.8125,4/23/2016 4:58:15 PM
Brain Child Production (Pvt.) Ltd.,10490071.8125,4/23/2016 4:58:15 PM
Brainchild Communications Pakistan (Pvt) Ltd,82315919.2463,6/30/2016 12:00:00 AM
Brainchild Communications Pakistan (Pvt) Ltd,82315919.2463,6/30/2016 12:00:00 AM
British High Commision,-150000.0000,5/28/2009 12:00:00 AM
BRN Communications,139380.0000,8/30/2011 12:00:00 AM
Bullseye Communications,0.2077,7/17/2012 12:00:00 AM
Bullseye Communications,0.2077,7/17/2012 12:00:00 AM
Buraqsys,0.0000,12/18/2014 12:00:00 AM
CECO Motor Cycle,-2899.9999,2/18/2009 12:00:00 AM
Century Publications,30740347.8569,3/31/2016 12:00:00 AM
Channel 7 Communications (Pvt.)  Ltd.,28827683.2748,6/30/2016 12:00:00 AM
Channel 7 Communications (Pvt.)  Ltd.,28827683.2748,6/30/2016 12:00:00 AM
Children Cancer Hospital,0.0000,8/30/2011 12:00:00 AM
Civil Hospital,41159.9992,8/24/2013 12:43:15 PM
Colgate Palmolive Pakistan Limited,1328673.6244,9/30/2011 12:00:00 AM
Commoners Sky Gardens Pvt Ltd.,-174014.0000,5/18/2015 4:59:21 PM
Commtech Advertising,2689495.6048,4/26/2016 4:53:37 PM
Communication Spot (Pvt.) Ltd.,825690.0808,5/31/2015 12:00:00 AM
Communication Spot (Pvt.) Ltd.,825690.0808,5/31/2015 12:00:00 AM
Connect Marketing Communication (Pvt) Ltd,15337270.5321,7/1/2016 12:00:00 AM
Creative Junction,8498485.5819,6/30/2016 12:00:00 AM
Creative Junction,8498485.5819,6/30/2016 12:00:00 AM
Cross Check Communication,-15711.2340,8/22/2015 12:00:00 AM
CRSS,0.0000,9/30/2014 12:00:00 AM
Digital Creations,-7131.1475,6/20/2016 12:00:00 AM
Digital Media Communications,2544.0000,8/31/2009 12:00:00 AM
Dilpasand Sweets,-5813.6785,3/30/2012 2:29:04 PM
DNA (Design & Advertising),-193804.7700,2/16/2015 12:00:00 AM
DNJ Integrated Marketing Solution Pvt Ltd.,-142234.5000,1/16/2016 11:16:31 AM
DOT,-80000.0000,6/9/2016 4:04:04 PM
Dow University,38202.6658,8/31/2012 12:00:00 AM
Dream  Sky Shop,-0.2040,3/31/2013 12:00:00 AM
Eiman AD,1423425.5611,4/30/2016 12:00:00 AM
Eiman AD,1423425.5611,4/30/2016 12:00:00 AM
Enhancerz,1620316.6842,1/18/2011 12:00:00 AM
Evernew Concepts (Pvt.) Ltd.,35119433.1584,6/24/2016 9:46:45 AM
Evernew Concepts (Pvt.) Ltd.,35119433.1584,6/24/2016 9:46:45 AM
Evernew Concepts (Pvt.) Ltd.,35119433.1584,6/24/2016 9:46:45 AM
Express Publications (Pvt.) Ltd.,12009877.1970,6/30/2016 12:00:00 AM
Ezee Express,26100.2158,4/23/2016 12:40:02 PM
Fire Bolt,1718759.3395,5/25/2016 5:47:13 PM
Fire Bolt,1718759.3395,5/25/2016 5:47:13 PM
Fourays Advertising Pvt Ltd.,2210305.1529,6/30/2016 12:00:00 AM
Fourays Advertising Pvt Ltd.,2210305.1529,6/30/2016 12:00:00 AM
Front Line Communication,-2.0428,6/21/2012 12:00:00 AM
Fruit Market  of Chiniot,-1147.5000,4/30/2014 12:00:00 AM
Future Vision Advertising,292226.6014,5/2/2016 12:00:00 AM
Gforce Communications,-18693.5337,1/1/2014 12:00:00 AM
Global Media Edge,-0.2334,10/11/2008 12:00:00 AM
Golden Thoughts,4617156.5033,6/28/2016 12:20:03 PM
Green Apple Communications,1305428.4150,7/1/2016 12:00:00 AM
Group M Pakistan (Pvt.) Ltd.,91954695.3278,6/30/2016 12:00:00 AM
Group M Pakistan (Pvt.) Ltd.,91954695.3278,6/30/2016 12:00:00 AM
Group M Pakistan (Pvt.) Ltd.,91954695.3278,6/30/2016 12:00:00 AM
GS Communication,0.6518,6/20/2013 12:00:00 AM
Harib Advertising (Pvt.) Ltd.,4525492.2637,6/22/2016 11:49:44 AM
Harper Flux,-529380.6312,8/8/2014 12:00:00 AM
Hawk Advertising & Communications Consultant,259465.2491,7/1/2016 12:00:00 AM
Hayder Ali Communications,640881.5119,5/31/2016 12:00:00 AM
Hi-Point Communications,0.5009,1/31/2011 12:00:00 AM
I Seen On Tv,242269.2858,10/31/2012 12:00:00 AM
Ideas Workshop Communication Solutions,4974370.3825,4/21/2014 12:00:00 AM
Indus Hospital,0.0000,8/30/2011 12:00:00 AM
Inter Link Advertising (Pvt) Ltd,33465853.0571,4/14/2016 12:00:00 AM
Inter Link Advertising (Pvt) Ltd,33465853.0571,4/14/2016 12:00:00 AM
