AgencyName,NetBalance,Year
3D Marketing,-0.4018,6/30/2020 12:00:00 AM
4Square Communications,15804163.1793,10/31/2022 12:00:00 AM
6th Sense Marketing Pvt. Ltd.,-8333.3346,9/29/2020 4:37:53 PM
ABC Advertisers (Pvt) Ltd,0.6670,10/7/2020 12:00:00 AM
Ad MILL Communication,937008.8665,9/7/2022 12:00:00 AM
Ad Winner Advertising,-34899.6595,8/22/2014 11:52:44 AM
Ad World (Pvt.) Ltd.,1791789.1291,11/19/2019 12:00:00 AM
Ad-Mart,-550.6732,7/16/2014 4:39:12 PM
Adage Communication,2652060.3335,10/18/2022 12:26:49 PM
Adarts (Pvt.) Ltd.,1.8197,9/20/2022 12:00:00 AM
Adcom (Pvt.) Ltd.,9046133.1784,9/9/2022 11:51:55 AM
Adcom (Pvt.) Ltd.,9046133.1784,9/9/2022 11:51:55 AM
Adcom Media (Pvt.) Ltd.,13163408.7315,10/20/2022 11:12:35 AM
Addon Communications,2591394.8098,7/14/2022 12:00:00 AM
ADDONEDGE Pvt Ltd,30.5045,3/13/2018 12:00:00 AM
Adetude,253814.1051,7/4/2022 12:00:00 AM
Adetude,253814.1051,7/4/2022 12:00:00 AM
Adetude,253814.1051,7/4/2022 12:00:00 AM
Adgroup (Pvt) Ltd,1686552.3993,3/5/2020 12:00:00 AM
Adgroup (Pvt) Ltd,1686552.3993,3/5/2020 12:00:00 AM
Admax,143159.6673,6/18/2021 12:00:00 AM
Admax (Pvt.) Ltd.,922376.3119,9/6/2022 12:00:00 AM
Admire Graphics (Pvt) Ltd.,-2595.0000,9/28/2009 5:18:30 PM
Adreach Advertising (Pvt) Ltd.,-199999.9497,1/19/2018 12:03:47 PM
Adreach Advertising (Pvt) Ltd.,-199999.9497,1/19/2018 12:03:47 PM
Advantage,495275.9164,9/30/2021 12:00:00 AM
Advertising & Business Consultants Pvt Ltd.,1837980.9996,9/30/2022 1:13:29 PM
Advertising & Information Management Pvt Ltd (AIM),2026022.9642,9/30/2015 12:00:00 AM
Adworks (Pvt) Ltd,-714000.4330,10/14/2022 12:00:00 AM
Agha Khan University,0.0000,6/6/2022 12:00:00 AM
AIN Productions,-40905.1404,3/31/2014 12:00:00 AM
Al-Ehsan Garden,-0.3710,2/28/2022 12:00:00 AM
