AgencyName,NetBalance,Year
 Family Planning Association of Pakistan,144000.1056,6/14/2022 0:00
3D Marketing,-0.4018,6/30/2020 0:00
4Square Communications,3051555.058,10/17/2023 16:25
6th Sense Marketing Pvt. Ltd.,-8333.3346,9/29/2020 16:37
ABC Advertisers (Pvt) Ltd,0.667,12/15/2023 16:57
Ad MILL Communication,996178.8665,9/28/2023 17:50
Ad Winner Advertising,-34899.6595,8/22/2014 11:52
Ad World (Pvt.) Ltd.,1791789.129,11/19/2019 0:00
Adage Communication,8424940.334,12/12/2023 15:57
Adarts (Pvt.) Ltd.,1.0714,6/26/2023 0:00
Adcom (Pvt.) Ltd.,-6750409.517,9/26/2023 0:00
Adcom Media (Pvt.) Ltd.,46565693.91,12/31/2023 0:00
Addon Communications,3412116.81,6/30/2023 0:00
ADDONEDGE Pvt Ltd,30.5045,3/13/2018 0:00
Adetude,2918050.105,9/22/2023 0:00
Adgroup (Pvt) Ltd,424365.3993,6/30/2023 0:00
Ad-Mart,-550.6732,7/16/2014 16:39
Admax,2348999.668,1/25/2023 10:41
Admax (Pvt.) Ltd.,2057774.312,2/28/2023 0:00
Admire Graphics (Pvt) Ltd.,-2595,9/28/2009 17:18
Adreach Advertising (Pvt) Ltd.,-199999.9497,1/19/2018 12:03
Adrope Pvt Ltd.,5496041,8/15/2023 13:22
Advantage,495275.9164,9/30/2021 0:00
Advertising & Business Consultants Pvt Ltd.,-219.0004,12/26/2022 0:00
Advertising & Information Management Pvt Ltd (AIM),-218594.0358,6/30/2023 0:00
Adworks (Pvt) Ltd,324276.9392,9/22/2023 0:00
Agate Advertising (Pvt) Ltd,1885293,10/31/2023 0:00
Agha Associate,-0.2604,2/20/2023 0:00
Agha Khan University Hospital,0,12/31/2023 0:00
AIN Productions,-40905.1404,3/31/2014 0:00
Al-Ehsan Garden,-0.371,2/28/2022 0:00
Al-Hamra Communications,1792468.854,12/31/2023 0:00
Al-Huda Associate,-752715,6/30/2019 0:00
Amergin Communication,0,1/23/2013 0:00
American Lycetuff,0,4/12/2014 15:40
Ansar Burney Trust,-20000.3172,8/30/2011 0:00
Apex Communications,0.0021,12/31/2016 0:00
Argus  Advertising (Pvt.) Ltd.,64800.0835,10/12/2019 0:00
Aroma Marketing Pvt Ltd.,1261267.798,3/4/2020 0:00
Asiatic Public Relations Network Pvt. Ltd.,-232000,3/29/2023 0:00
ASK Advertising,-0.5413,11/19/2008 0:00
Bait-ul-Sukoon,0,6/30/2017 0:00
BBCL (Pvt) Ltd.,0.4845,3/18/2011 0:00
Bilal Associates,0.3317,12/18/2023 0:00
Black Box Sounds,-28612.3334,6/7/2017 0:00
Blitz Advertising (Pvt.) Ltd. DDB,30733507.99,12/31/2023 0:00
Bond Advertising (Pvt.) Ltd.,1486730.359,12/31/2023 0:00
Boost Communication (Pvt) Ltd.,-55127.1425,3/11/2020 0:00
Brain Child Production (Pvt.) Ltd.,-41256.1875,11/30/2022 0:00
Brainchild Communications Pakistan (Pvt) Ltd,-100071718.6,12/31/2023 0:00
Brandkey Communication (Pvt.) Limited,1386891.411,7/18/2019 15:15
British High Commision,-150000,5/28/2009 0:00
BRN Communications,0,6/30/2017 0:00
Bullseye Communications,0.2077,7/17/2012 0:00
Buraqsys,0,12/18/2014 0:00
CECO Motor Cycle,-2899.9999,2/18/2009 0:00
Century Publications,30740347.86,3/31/2016 0:00
Channel 7 Communications (Pvt.)  Ltd.,28994336.47,12/20/2023 16:43
Children Cancer Hospital,0,8/30/2011 0:00
Civil Hospital,-0.0008,6/30/2017 0:00
Colgate Palmolive Pakistan Limited,-2.3756,6/30/2017 0:00
Commoners Sky Gardens Pvt Ltd.,-174014,5/18/2015 16:59
Commtech Advertising,-0.3952,6/30/2023 0:00
Communication Spot (Pvt.) Ltd.,-1.814,6/30/2023 0:00
Connect Marketing Communication (Pvt) Ltd,-298470.6356,2/8/2021 0:00
Corporate & Marketing Communications (Pvt.) Ltd - CMC,-0.5,2/14/2017 0:00
Creative Consultants Pvt Ltd.,44213.7264,6/12/2020 0:00
Creative Junction,38684736.93,12/29/2023 16:10
Cross Check Communication,-15711.234,7/2/2018 17:48
CRSS,0,9/30/2014 0:00
Difference (Private) Limited,10524858.83,10/31/2019 0:00
Digital and More,-210531,6/1/2023 0:00
Digital Creations,657154.3196,12/31/2023 0:00
Digital Media Communications,0,6/30/2018 0:00
Dilpasand Sweets,-5813.6785,3/30/2012 14:29
DNA (Design & Advertising),-193804.77,2/16/2015 0:00
DNJ Integrated Marketing Solution Pvt Ltd.,-128615.6273,3/29/2018 17:18
DOT,-80000,6/9/2016 16:04
Dow University,-0.3342,12/31/2016 0:00
Dream  Sky Shop,-0.204,3/31/2013 0:00
Eiman AD,-1.786,9/28/2023 18:56
Enhancerz,-0.3158,11/30/2022 0:00
Enhancerz Communications (Pvt) Ltd,3604645.333,6/14/2023 17:29
EPPL (Temp),301406.331,9/30/2019 0:00
Evernew Concepts (Pvt.) Ltd.,123741.3992,9/20/2023 18:37
Evolution Media Network,0,7/24/2020 16:33
Express Publications (Pvt.) Ltd.,549118.3617,11/29/2017 11:39
Exuberance Advertising (SMC - Pvt.) Limited,-40.04,3/21/2023 0:00
Ezee Express,0.1978,6/30/2020 0:00
Fast Media Group,-100098.6354,5/23/2018 0:00
Fasttrack Communication (Pvt.) Ltd.,1074638.522,10/18/2022 11:39
Fatima Vetetable Oil Mills Pvt. Ltd.,-86858,3/4/2021 0:00
Fire Bolt,-0.7317,6/30/2023 0:00
Foreign Commonwealth & Development Office,-58.3461,12/31/2023 0:00
Fourays Advertising Pvt Ltd.,23868701.74,12/31/2023 0:00
Friends of PML (N),36975,12/22/2023 15:04
Front Line Communication,-2.0428,6/21/2012 0:00
Fruit Market  of Chiniot,-1147.5,4/30/2014 0:00
Future Vision Advertising,55165.3662,3/9/2023 0:00
G.H Thaver & Co Pvt Ltd,-34272.0004,1/30/2019 12:35
G.S. Associate,323200,6/9/2023 15:31
Gforce Communications,-18693.5337,1/1/2014 0:00
Global Media Edge,-0.2334,10/11/2008 0:00
Golden Thoughts,28368.7049,10/5/2023 0:00
Government of Pakistan (Temp),-66529742,12/18/2023 16:53
Government of Punjab (Temp),-1046895,12/1/2023 0:00
Graymatter Communications,1.2509,6/30/2023 0:00
Green Apple Communications,733866.7717,12/31/2023 0:00
Group M Pakistan (Pvt.) Ltd.,250290524.5,12/31/2023 0:00
GS Communication,0.6518,6/20/2013 0:00
Harib Advertising (Pvt.) Ltd.,-1.3208,4/22/2021 14:25
Harper Flux,-507504.2057,11/10/2020 17:20
Hashmi Media & Marketing Consultants (Pvt) Ltd.,6037663.015,12/6/2023 0:00
Hawk Advertising & Communications Consultant,-1.7509,7/25/2016 0:00
Hayder Ali Communications,-1.4881,6/30/2020 0:00
Hi-Point Communications,0.5009,1/31/2011 0:00
HS Marketing,-18.9942,9/12/2022 0:00
I Seen On Tv,0.2858,6/13/2017 13:52
Ideal Brands,1.0152,3/13/2017 12:36
Ideas Workshop Communication Solutions,-786189.6175,1/19/2018 11:59
IG Square Pakistan (Pvt) Ltd,18134867.3,12/31/2023 0:00
Impact Advertising Services Pvt Ltd,0.3335,3/4/2021 0:00
Indus Hospital,0,8/30/2011 0:00
Insync Marketing & Advertising Pvt Ltd.,4398524.568,7/31/2023 0:00
Inter Link Advertising (Pvt) Ltd,45612214.78,12/31/2023 0:00
Interflow Communications (Pvt.) Ltd.,-21508161.29,11/30/2023 13:36
International Advertising (Pvt.) Ltd.,-0.4494,11/27/2018 0:00
IO Media (Pvt) Ltd.,-0.5827,6/30/2023 0:00
ISPR,1268666,3/31/2021 0:00
ISPR (Maalik Promo),-0.1245,6/30/2020 0:00
Jaag Welfare Movemnet,-0.3336,1/2/2009 0:00
Jahanzaib Advertiser Company,-570,9/30/2010 0:00
Jupiter Communications (Pvt) Ltd.,-0.1252,12/31/2016 0:00
JWT,0.7414,1/20/2016 15:03
JWT Asiatic,-125427.8678,6/11/2019 16:50
Karwan-e-Hayat,0,8/30/2011 0:00
Kenad (Pvt) Ltd,0.245,9/8/2022 0:00
Kimco Advertising,-538.7986,6/30/2018 0:00
Kohinoor One Vista,-257823.9,8/29/2008 12:07
Kun Advertising Agency,66956.6243,11/16/2022 0:00
Lakson Investment,0.7403,1/19/2018 12:17
Linkers Communication (Private) Limited,-5669206.899,12/18/2023 0:00
Lowe & Rauf (Pvt.) Ltd.,-60639.964,10/3/2015 0:00
LRBT,-0.3337,6/30/2017 0:00
M & C Saatchi World Services Pakistan Pvt Ltd.,18200349.85,12/31/2023 0:00
M Communications (Pvt) Limited,384183.8913,1/19/2021 16:38
Maan Advertisers,0,11/29/2008 10:53
MAdMOB Advertising Pvt Ltd.,0,8/16/2023 0:00
Mahantee.com,-100.0007,10/6/2020 0:00
Manhattan Communications (Pvt) Ltd.,11463573.36,12/18/2023 0:00
Manhattan International (Pvt.) Ltd.,1505022.501,12/31/2023 0:00
Manhattan Pakistan Limited,-0.1671,11/6/2008 0:00
Manhill Advertising & Marketing (Pvt.) Ltd.,7694671.117,10/23/2023 0:00
Marcom (Pvt.) Limited,444400,8/15/2023 13:09
Marketing & Advertising (Pvt.) Ltd.,21211.5002,10/16/2023 0:00
Marksman Advertising,0.0333,12/24/2008 0:00
Marshmallow Advertising (Pvt.) Limited,12463986.79,12/14/2023 11:15
Mass Advertising (Pvt) Ltd.,3.6536,6/30/2017 0:00
Maxim Advertising (Pvt.) Ltd.,-0.5452,10/28/2021 0:00
Maxsell Associates,2434114.263,11/28/2023 0:00
Maxsell Communications,-844686.4936,10/5/2021 0:00
MCM,22589.7092,3/26/2021 16:45
MCOM,-1372864.295,9/21/2023 17:19
Media 360 Pvt Ltd.,0.051,12/31/2016 0:00
Media Ad,-0.0214,9/28/2023 19:08
Media Axis (Pvt) Ltd,-861177.9484,5/12/2023 18:47
Media Dimensions,-63436.67,1/19/2018 11:39
Media Expansion Systems (Pvt.) Limited,6669185.333,11/27/2023 11:47
Media Line,-14140,5/17/2013 11:32
Media Link Pakistan (Pvt.) Ltd.,-0.5,5/23/2009 16:30
Media Links Inc.,27000,11/15/2021 0:00
Media Network,2276750.334,12/31/2023 0:00
Media One Communication,27967.931,2/14/2018 17:57
Media Professionals,3589845.698,11/16/2023 0:00
Media Pulse (Pvt.) Ltd.,2592093.067,11/13/2023 16:13
Media Shop (Pvt.) Ltd.,0.1129,12/31/2016 0:00
